   1.5805929e+03   1.5635000e+03  -2.0214093e+01   2.0118012e+00   2.2591879e+00   2.2595942e+00   2.2581289e+00   1.0124384e+02   1.0642832e+02   3.6981997e+02
   1.5805418e+03   1.5635500e+03  -2.0214096e+01   2.0118011e+00   2.2591891e+00   2.2595930e+00   2.2581289e+00   1.0125930e+02   1.0641317e+02   3.6981997e+02
   1.5804907e+03   1.5636000e+03  -2.0214100e+01   2.0118011e+00   2.2591903e+00   2.2595918e+00   2.2581289e+00   1.0127482e+02   1.0639802e+02   3.6981997e+02
   1.5804397e+03   1.5636500e+03  -2.0214103e+01   2.0118010e+00   2.2591914e+00   2.2595905e+00   2.2581289e+00   1.0129034e+02   1.0638287e+02   3.6981997e+02
   1.5803886e+03   1.5637000e+03  -2.0214106e+01   2.0118009e+00   2.2591926e+00   2.2595893e+00   2.2581289e+00   1.0130587e+02   1.0636773e+02   3.6981997e+02
   1.5803375e+03   1.5637500e+03  -2.0214110e+01   2.0118009e+00   2.2591938e+00   2.2595881e+00   2.2581289e+00   1.0132131e+02   1.0635259e+02   3.6981997e+02
   1.5802864e+03   1.5638000e+03  -2.0214113e+01   2.0118008e+00   2.2591949e+00   2.2595868e+00   2.2581289e+00   1.0133680e+02   1.0633745e+02   3.6981997e+02
   1.5802354e+03   1.5638500e+03  -2.0214116e+01   2.0118007e+00   2.2591961e+00   2.2595856e+00   2.2581289e+00   1.0135245e+02   1.0632222e+02   3.6981997e+02
   1.5801843e+03   1.5639000e+03  -2.0214119e+01   2.0118007e+00   2.2591973e+00   2.2595844e+00   2.2581289e+00   1.0136790e+02   1.0630714e+02   3.6981997e+02
   1.5801333e+03   1.5639500e+03  -2.0214123e+01   2.0118006e+00   2.2591985e+00   2.2595832e+00   2.2581289e+00   1.0138340e+02   1.0629201e+02   3.6981997e+02
   1.5800823e+03   1.5640000e+03  -2.0214126e+01   2.0118005e+00   2.2591996e+00   2.2595819e+00   2.2581289e+00   1.0139887e+02   1.0627689e+02   3.6981997e+02
   1.5800312e+03   1.5640500e+03  -2.0214129e+01   2.0118005e+00   2.2592008e+00   2.2595807e+00   2.2581289e+00   1.0141439e+02   1.0626161e+02   3.6981997e+02
   1.5799802e+03   1.5641000e+03  -2.0214132e+01   2.0118004e+00   2.2592020e+00   2.2595795e+00   2.2581289e+00   1.0142991e+02   1.0624645e+02   3.6981997e+02
   1.5799292e+03   1.5641500e+03  -2.0214135e+01   2.0118003e+00   2.2592031e+00   2.2595782e+00   2.2581289e+00   1.0144529e+02   1.0623138e+02   3.6981997e+02
   1.5798782e+03   1.5642000e+03  -2.0214139e+01   2.0118003e+00   2.2592043e+00   2.2595770e+00   2.2581289e+00   1.0146092e+02   1.0621627e+02   3.6981997e+02
   1.5798272e+03   1.5642500e+03  -2.0214142e+01   2.0118002e+00   2.2592055e+00   2.2595758e+00   2.2581289e+00   1.0147632e+02   1.0620116e+02   3.6981997e+02
   1.5797762e+03   1.5643000e+03  -2.0214145e+01   2.0118002e+00   2.2592067e+00   2.2595746e+00   2.2581289e+00   1.0149181e+02   1.0618600e+02   3.6981997e+02
